oslid,csign,Actual,csignLabel,validLabel(T_F),cdli_label
o0000505,http://www.wikidata.org/entity/Q87557082,𒑰,𒑰,T,
o0000506,http://www.wikidata.org/entity/Q87557084,𒑱,𒑱,T,
o0000507,http://www.wikidata.org/entity/Q87557086,𒑲,𒑲,T,
o0000508,http://www.wikidata.org/entity/Q87557088,𒑳,𒑳,T,
o0002681,http://www.wikidata.org/entity/Q87556941,𒐲,𒐲,T,
o0002682,http://www.wikidata.org/entity/Q87556943,𒐳,𒐳,T,
o0002849,http://www.wikidata.org/entity/Q87557041,𒑚,𒑚,T,
o0002826,http://www.wikidata.org/entity/Q87557042,𒑛,𒑛,T,
o0000283,http://www.wikidata.org/entity/Q87557044,𒑜,𒑜,T,
o0000181,http://www.wikidata.org/entity/Q87557046,𒑝,𒑝,T,
o0000182,http://www.wikidata.org/entity/Q87557048,𒑞,𒑞,T,
o0000183,http://www.wikidata.org/entity/Q87557050,𒑟,𒑟,T,
o0000184,http://www.wikidata.org/entity/Q87557052,𒑠,𒑠,T,
o0000185,http://www.wikidata.org/entity/Q87557054,𒑡,𒑡,T,
o0000186,http://www.wikidata.org/entity/Q87557055,𒑢,𒑢,T,
o0000562,http://www.wikidata.org/entity/Q87556945,𒐴,𒑘,F,
o0000008,http://www.wikidata.org/entity/Q87556927,𒐬,𒑘,F,
o0000007,http://www.wikidata.org/entity/Q87556872,𒐕,𒑘,F,
o0000006,http://www.wikidata.org/entity/Q87556890,𒐞,𒑘,F,
o0000005,http://www.wikidata.org/entity/Q87557027,𒑘,𒑘,T,
o0000003,http://www.wikidata.org/entity/Q87557009,𒑏,𒑘,F,
o0023035,http://www.wikidata.org/entity/Q16207549,𒑙,𒐖,F,
o0000481,http://www.wikidata.org/entity/Q87557023,𒑖,𒑖,T,
o0000019,http://www.wikidata.org/entity/Q87556910,𒐣,𒐖,F,
o0000018,http://www.wikidata.org/entity/Q87556931,𒐭,𒐖,F,
o0000017,http://www.wikidata.org/entity/Q87556874,𒐖,𒐖,T,
o0000016,http://www.wikidata.org/entity/Q87556891,𒐟,𒐖,F,
o0000015,http://www.wikidata.org/entity/Q87557029,𒑙,𒐖,F,
o0000012,http://www.wikidata.org/entity/Q87556949,𒐵,𒐖,F,
o0000011,http://www.wikidata.org/entity/Q87557010,𒑐,𒐖,F,
o0000010,http://www.wikidata.org/entity/Q87556997,𒑊,𒐖,F,
o0000009,http://www.wikidata.org/entity/Q87556830,𒐀,𒐖,F,
o0000859,http://www.wikidata.org/entity/Q87556961,𒐺,𒐠,F,
o0000480,http://www.wikidata.org/entity/Q87557025,𒑗,𒑗,T,
o0000033,http://www.wikidata.org/entity/Q87556914,𒐥,𒐠,F,
o0000032,http://www.wikidata.org/entity/Q87556912,𒐤,𒐠,F,
o0000031,http://www.wikidata.org/entity/Q87556934,𒐯,𒐠,F,
o0000030,http://www.wikidata.org/entity/Q87556932,𒐮,𒐠,F,
o0000029,http://www.wikidata.org/entity/Q87556876,𒐗,𒐠,F,
o0000028,http://www.wikidata.org/entity/Q87556893,𒐠,𒐠,T,
o0000027,http://www.wikidata.org/entity/Q87556848,𒐈,𒐠,F,
o0000026,http://www.wikidata.org/entity/Q87556954,𒐷,𒐠,F,
o0000025,http://www.wikidata.org/entity/Q87556951,𒐶,𒐠,F,
o0000024,http://www.wikidata.org/entity/Q87557012,𒑑,𒐠,F,
o0000023,http://www.wikidata.org/entity/Q87556963,𒐻,𒐠,F,
o0000021,http://www.wikidata.org/entity/Q87557000,𒑋,𒐠,F,
o0000020,http://www.wikidata.org/entity/Q87556833,𒐁,𒐠,F,
o0000429,http://www.wikidata.org/entity/Q87556973,𒐿,𒐏,F,
o0000428,http://www.wikidata.org/entity/Q87556970,𒐾,𒐏,F,
o0000427,http://www.wikidata.org/entity/Q87556965,𒐼,𒐏,F,
o0000046,http://www.wikidata.org/entity/Q87556916,𒐦,𒐏,F,
o0000045,http://www.wikidata.org/entity/Q87556936,𒐰,𒐏,F,
o0000043,http://www.wikidata.org/entity/Q87556861,𒐏,𒐏,T,
o0000042,http://www.wikidata.org/entity/Q87556879,𒐘,𒐏,F,
o0000041,http://www.wikidata.org/entity/Q87556895,𒐡,𒐏,F,
o0000040,http://www.wikidata.org/entity/Q87556849,𒐉,𒐏,F,
o0000039,http://www.wikidata.org/entity/Q87556955,𒐸,𒐏,F,
o0000038,http://www.wikidata.org/entity/Q87557017,𒑓,𒐏,F,
o0000037,http://www.wikidata.org/entity/Q87557016,𒑒,𒐏,F,
o0000036,http://www.wikidata.org/entity/Q87556968,𒐽,𒐏,F,
o0000035,http://www.wikidata.org/entity/Q87557002,𒑌,𒐏,F,
o0000034,http://www.wikidata.org/entity/Q87556835,𒐂,𒐏,F,
o0000058,http://www.wikidata.org/entity/Q87556917,𒐧,𒐃,F,
o0000057,http://www.wikidata.org/entity/Q87556939,𒐱,𒐃,F,
o0000055,http://www.wikidata.org/entity/Q87556863,𒐐,𒐃,F,
o0000054,http://www.wikidata.org/entity/Q87556881,𒐙,𒐃,F,
o0000053,http://www.wikidata.org/entity/Q87556896,𒐢,𒐃,F,
o0000052,http://www.wikidata.org/entity/Q87556851,𒐊,𒐃,F,
o0000051,http://www.wikidata.org/entity/Q87556959,𒐹,𒐃,F,
o0000050,http://www.wikidata.org/entity/Q87557022,𒑕,𒐃,F,
o0000049,http://www.wikidata.org/entity/Q87557019,𒑔,𒐃,F,
o0000048,http://www.wikidata.org/entity/Q87557005,𒑍,𒐃,F,
o0000047,http://www.wikidata.org/entity/Q87556838,𒐃,𒐃,T,
o0000065,http://www.wikidata.org/entity/Q87556919,𒐨,𒐑,F,
o0000064,http://www.wikidata.org/entity/Q87556865,𒐑,𒐑,T,
o0000063,http://www.wikidata.org/entity/Q87556882,𒐚,𒐑,F,
o0000062,http://www.wikidata.org/entity/Q87556853,𒐋,𒐑,F,
o0000061,http://www.wikidata.org/entity/Q87556974,𒑀,𒐑,F,
o0000060,http://www.wikidata.org/entity/Q87557007,𒑎,𒐑,F,
o0000059,http://www.wikidata.org/entity/Q87556840,𒐄,𒐑,F,
o0025653,http://www.wikidata.org/entity/Q87556982,𒑃,𒐒,F,
o0025651,http://www.wikidata.org/entity/Q87556980,𒑂,𒐒,F,
o0000073,http://www.wikidata.org/entity/Q87556921,𒐩,𒐒,F,
o0000072,http://www.wikidata.org/entity/Q87556867,𒐒,𒐒,T,
o0000071,http://www.wikidata.org/entity/Q87556884,𒐛,𒐒,F,
o0000068,http://www.wikidata.org/entity/Q87556855,𒐌,𒐒,F,
o0000067,http://www.wikidata.org/entity/Q87556978,𒑁,𒐒,F,
o0000066,http://www.wikidata.org/entity/Q87556841,𒐅,𒐒,F,
o0000590,http://www.wikidata.org/entity/Q87556986,𒑅,𒐍,F,
o0000145,http://www.wikidata.org/entity/Q87556984,𒑄,𒐍,F,
o0000078,http://www.wikidata.org/entity/Q87556923,𒐪,𒐍,F,
o0000077,http://www.wikidata.org/entity/Q87556868,𒐓,𒐍,F,
o0000076,http://www.wikidata.org/entity/Q87556886,𒐜,𒐍,F,
o0000075,http://www.wikidata.org/entity/Q87556857,𒐍,𒐍,T,
o0000074,http://www.wikidata.org/entity/Q87556843,𒐆,𒐍,F,
o0000250,http://www.wikidata.org/entity/Q87556989,𒑆,𒐝,F,
o0000086,http://www.wikidata.org/entity/Q87556926,𒐫,𒐝,F,
o0000085,http://www.wikidata.org/entity/Q87556870,𒐔,𒐝,F,
o0000084,http://www.wikidata.org/entity/Q87556888,𒐝,𒐝,T,
o0000083,http://www.wikidata.org/entity/Q87556995,𒑉,𒐝,F,
o0000082,http://www.wikidata.org/entity/Q87556993,𒑈,𒐝,F,
o0000081,http://www.wikidata.org/entity/Q87556990,𒑇,𒐝,F,
o0000080,http://www.wikidata.org/entity/Q87556858,𒐎,𒐝,F,
o0000079,http://www.wikidata.org/entity/Q87556845,𒐇,𒐝,F,
o0027505,http://www.wikidata.org/entity/Q124821835,𒀀@g,CUNEIFORM SIGN A GUNU (𒀀@g),,A@g
o0027507,http://www.wikidata.org/entity/Q124821884,𒀀@t,CUNEIFORM SIGN A TENU (𒀀@t),,A@t
o0027203,http://www.wikidata.org/entity/Q125123185,𒀀×𒀭,CUNEIFORM SIGN A TIMES AN (𒀀 × 𒀭),,A×AN
,http://www.wikidata.org/entity/Q123155076,𒀀×𒂗,CUNEIFORM SIGN A TIMES EN (𒀀 × 𒂗),,A×EN
o0021754,http://www.wikidata.org/entity/Q125124418,𒀀×𒆬,CUNEIFORM SIGN A TIMES KU3 (𒀀 × 𒆬),,A×KU3
,http://www.wikidata.org/entity/Q123155129,𒀀×𒋚,CUNEIFORM SIGN A TIMES SHUBUR (𒀀 × 𒋚),,A×SZUBUR
,http://www.wikidata.org/entity/Q123155146,𒀀×𒌋,CUNEIFORM SIGN A TIMES U (𒀀 × 𒌋),,A×U
,http://www.wikidata.org/entity/Q123300335,𒀀×ZATU672,CUNEIFORM SIGN A TIMES ZATU 672 (𒀀 × ZATU 672),,A×ZATU672
o0000744,http://www.wikidata.org/entity/Q121509869,𒀊×𒀀,CUNEIFORM SIGN AB TIMES A (𒀊 × 𒀀),,AB×A
o0018586,http://www.wikidata.org/entity/Q125123254,𒀊×𒁹,CUNEIFORM SIGN AB TIMES DISH (𒀊 × 𒁹),,AB×DISZ
o0031583,http://www.wikidata.org/entity/Q125123245,𒀊×𒆠,CUNEIFORM SIGN AB TIMES KI (𒀊 × 𒆠),,AB×KI
o0027731,http://www.wikidata.org/entity/Q125123222,𒀊×𒀸@t,CUNEIFORM SIGN AB TIMES LAK178 (𒀊 × 𒀸@t),,AB×LAK178
o0025711,http://www.wikidata.org/entity/Q122759140,𒀊×𒌋,CUNEIFORM SIGN AB TIMES U (𒀊 × 𒌋),,AB×U
o0000091,http://www.wikidata.org/entity/Q124821765,𒀖@t,CUNEIFORM SIGN AB2 TENU (𒀖@t),,AB2@t
o0221962,http://www.wikidata.org/entity/Q125123290,𒀖×𒀫@t,CUNEIFORM SIGN AB2 TIMES AMAR TENU (𒀖 × 𒀫@t),,AB2×AMAR@t
o0037873,http://www.wikidata.org/entity/Q125124060,𒀖×𒀿,CUNEIFORM SIGN AB2 TIMES ASHGAB (𒀖 × 𒀿),,AB2×ASZGAB
o0037877,http://www.wikidata.org/entity/Q125123303,𒀖×𒂁,CUNEIFORM SIGN AB2 TIMES DUG (𒀖 × 𒂁),,AB2×DUG
o0000768,http://www.wikidata.org/entity/Q125124047,𒀖×𒃷,CUNEIFORM SIGN AB2 TIMES GAN2 (𒀖 × 𒃷),,AB2×GAN2
o0031855,http://www.wikidata.org/entity/Q125123963,𒀖×𒄖,CUNEIFORM SIGN AB2 TIMES GU (𒀖 × 𒄖),,AB2×GU
o0023033,http://www.wikidata.org/entity/Q125123981,𒀖×𒄞,CUNEIFORM SIGN AB2 TIMES GUD (𒀖 × 𒄞),,AB2×GUD
o0037878,http://www.wikidata.org/entity/Q125124335,𒀖×𒅊,CUNEIFORM SIGN AB2 TIMES IGI GUNU (𒀖 × 𒅊),,AB2×IGI
o0037880,http://www.wikidata.org/entity/Q125123997,𒀖×𒆑,CUNEIFORM SIGN AB2 TIMES KAD3 (𒀖 × 𒆑),,AB2×KAD3
o0031857,http://www.wikidata.org/entity/Q125124017,𒀖×𒆷,CUNEIFORM SIGN AB2 TIMES LA (𒀖 × 𒆷),,AB2×LA
o0031859,http://www.wikidata.org/entity/Q125124067,𒀖×𒈖,CUNEIFORM SIGN AB2 TIMES LU3 (𒀖 × 𒈖),,AB2×LU3
o0027927,http://www.wikidata.org/entity/Q125124112,𒀖×𒈬,CUNEIFORM SIGN AB2 TIMES MU (𒀖 × 𒈬),,AB2×MU
o0037882,http://www.wikidata.org/entity/Q125124119,𒀖×𒉈,CUNEIFORM SIGN AB2 TIMES NE (𒀖 × 𒉈),,AB2×NE
o0031865,http://www.wikidata.org/entity/Q125124126,𒀖×𒉌,CUNEIFORM SIGN AB2 TIMES NI (𒀖 × 𒉌),,AB2×NI
