sign_norm,Akkademia_df,CDLI_df,Cuneiml_df,Nuolenna_df,TextFabric_df,osl_df,wiki_df,oslIDs
mulab₂ 𒀯𒀖,,mulxab₂ 𒀯𒀖,,mulxab₂ 𒀯𒀖,,,,
x,n。x,n。x,,,,,,
x.𒃲,uszumgalₓ。ušumgalₓ,uszumgalₓ。ušumgalₓ,,,,,,
x𒁻x,,šubtum₄,,šubtum₄,,,,
x𒋓,,su.lu.ub₂.gar&su.lu.ub₂.gar.šir,,su.lu.ub₂.gar&su.lu.ub₂.gar.šir,,None,,
,,lu₂~v,,lu₂~v,,,,
,::,p₅,,::。p₅,,,,
𒀀,"'u4。a。aia2。aia₂。aya2。aya₂。dur5。duru5。duru₅。dur₅。e4。ea。ebir3。ebir₃。emₓ。epir3。epir₃。esz10。eš₁₀。e₄。ia10。ia₁₀。id5。id₅。me5。me₅。mu14。mu₁₄。t,ur5。ya10。ya₁₀。ŋa10。ŋa₁₀。ʾu₄。ṭur₅","'u4。aia2。aya2。dur5。duru5。e4。ebir3。epir3。esz10。ia10。id5。me5。mu14。t,ur5。ya10。ŋa10", a。A。[A]。[a。[a]。_a。_e4。a。a!。a#。a]。a_。aia2。aya2。a–。dur5。duru5。duru₅。e4。ea。eš10。id5,a。aia₂。aya₂。duru₅。dur₅。ea。ebir₃。emₓ。epir₃。eš₁₀。e₄。ia₁₀。id₅。me₅。mu₁₄。ya₁₀。ŋa₁₀。ʾu₄。ṭur₅,A。AIA2。AŠA2。DU23。DUR5。DURU5。E4。EA。EBIR3。EPIR3。EŠ10。IA10。ID5。ME5。MU14。ZE6。ṬUR5。’A4。’E4。’I4。’U4,a。aia₂。aya₂。barₓ。buniŋₓ。burₓ。duru₅。dur₅。ea。ebir₃。emₓ。epir₃。eš₁₀。e₄。ia₁₀。id₅?。me₅。mu₁₄。sedₓ。ya₁₀。ŋa₁₀。šegₓ。ʾu₄。ṭur₅,a,o0000087
𒀀𒀀,ai。aia。aya。aye。ayi。ayu。ayya。ayye。ayyi。ayyu。iya。iyi。iyu。iyya。iyyi。iyyu,a.a。|a.a|,ai。aia,a.a。ai。aia。aya。aye。ayi。ayu。ayya。ayye。ayyi。ayyu。iya。iyi。iyu。iyya。iyyi。iyyu。|a.a|,A.A。AI。AIA。AIE。AII。AIIA。AIIE。AIII。AIIU。AIU。AJA。AJE。AJI。AJJA。AJJE。AJJI。AJJU。AJU。AYA。AYE。AYI。AYU。AYYA。AYYE。AYYI。AYYU。IJA。IJE。IJI。IJJA。IJJE。IJJI。IJJU。IJU。IYA。IYE。IYI。IYU。IYYA。IYYE。IYYI。IYYU,ai。aia。aya。aye。ayi。ayu。ayya。ayye。ayyi。ayyu。iya。iyi。iyu。iyya。iyyi。iyyu。yaₓ,,
𒀀𒀀𒀀,ayayaₓ,a.a.a。|a.a.a|,,a.a.a。ayayaₓ。|a.a.a|,,ayayaₓ,,
