value_norm,Akkademia_df,CDLI_df,Cuneiml_df,Nuolenna_df,TextFabric_df,osl_df,wiki_df,oslID
#3,,,𒐈,,,,,
#igi#,,,𒅆,,,,,
%akk aban,,,,,,𒎎,,
%akk abnu,,,,,,𒌓𒉌。𒎎,,
%akk alpu,,,,,,𒄞,,
%akk aś,,,,,,𒀾,,
%akk ašaridu,,,,,,𒅆𒁺,,
%akk dannu,,,,,,𒆗,,
%akk eqlu,,,,,,𒃷,,
%akk erešu,,,,,,𒅕,,
%akk erṣetu,,,,,,𒆠,,
%akk eṭlu,,,,,,𒆗,,
%akk eṭutu,,,,,,𒂿,,
%akk hutpu,,,,,,𒉺𒆕,,
%akk illatu,,,,,,𒆜𒆳,,
%akk iś,,,,,,𒅖,,
%akk išdu,,,,,,𒁼,,
%akk leʾum,,,,,,𒁾,,
%akk mahruₓ,,,,,,𒅆。𒅆𒁺,,
%akk maś,,,,,,𒈦,,
%akk miṭṭu,,,,,,𒆪𒀭,,
%akk namru,,,,,,𒆳𒈽𒍝𒆠,,
%akk namruₓ,,,,,,𒍝𒈽𒁲,,
%akk nappilu,,,,,,𒉩,,
%akk panuₓ,,,,,,𒅆,,
%akk puhrum,,,,,,𒄒,,
%akk puzruₓ,,,,,,𒅤。𒅤𒊭,,
%akk qaqqaru,,,,,,𒆠,,
%akk reʾu,,,,,,𒉺𒇻,,
%akk tertu,,,,,,𒉺𒋢,,
%akk ummanu,,,,,,𒆠𒋢𒇻𒂠𒃻,,
%akk upluₓ,,,,,,𒄴,,
%akk uś,,,,,,𒍑,,
%akk wardu,,,,,,𒀴,,
%akk śa,,,,,,𒊓,,
%akk śar,,,,,,𒊬,,
%akk śa₂,,,,,,𒁲,,
%akk śe,,,,,,𒋛,,
%akk śem,,,,,,𒋆,,
%akk śe₂,,,,,,𒋝,,
%akk śi,,,,,,𒋛,,
%akk śim,,,,,,𒋆,,
%akk śim₂,,,,,,𒉆,,
%akk śi₂,,,,,,𒋜,,
%akk śi₃,,,,,,𒋝,,
%akk śu,,,,,,𒋢,,
%akk śum,,,,,,𒋳,,
%akk śum₂,,,,,,𒋧,,
%akk śur,,,,,,𒋩,,
%akk śur₂,,,,,,𒊨,,
%akk śu₂,,,,,,𒋜,,
%akk śu₃,,,,,,𒋤,,
%akk šamnu,,,,,,𒉌,,
%akk šubtu,,,,,,𒆜𒆸,,
%akk ṣillu,,,,,,𒀭𒊨,,
%akk/n arhu,,,,,,𒌗,,
%akk/n bītu,,,,,,𒂍,,
%akk/n būdu,,,,,,𒍠𒂵。𒍠𒄩,,
%akk/n dūru,,,,,,𒂦𒀭,,
%akk/n ilī,,,,,,𒉌𒉌,,
%akk/n iṣu,,,,,,𒄑,,
%akk/n kalbu,,,,,,𒌨,,
%akk/n kišādu,,,,,,𒄘,,
%akk/n lāsimu,,,,,,𒁽,,
%akk/n mat_šammi,,,,,,𒌑,,
%akk/n muhhuₓ,,,,,,𒊕𒁺。𒊗。𒊚。𒊜。𒊨,,
%akk/n māṣit,,,,,,𒌓,,
%akk/n namruₓ,,,,,,𒌑𒆳𒍝𒈽𒆠,,
%akk/n nūr-ili,,,,,,𒈗。𒍂,,
%akk/n qablu,,,,,,𒍛,,
%akk/n qû,,,,,,𒋡,,
%akk/n rābiṣu,,,,,,𒌜,,
